rank,scholar_result_id,title,result_url,pdf_url,authors_source,year,snippet,cited_by_count,cited_by_url,versions_count,versions_url,related_url,source_page_start,source_page_url
1,0ebj3ma4aXwJ,"Vision-language-action models: Concepts, progress, applications and challenges",https://arxiv.org/abs/2505.04769,https://arxiv.org/pdf/2505.04769,"R Sapkota, Y Cao, KI Roumeliotis, M Karkee - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"Vision-Language-Action (VLA) models mark a transformative advancement in artificial intelligence, aiming to unify perception, natural language understanding, and embodied …",121,"https://scholar.google.com/scholar?cites=8964899285223335633&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=8964899285223335633&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:0ebj3ma4aXwJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
2,iosuwcO7IwsJ,Vision-language-action models for robotics: A review towards real-world applications,https://ieeexplore.ieee.org/abstract/document/11164279/,https://ieeexplore.ieee.org/iel8/6287639/6514899/11164279.pdf,"K Kawaharazuka, J Oh, J Yamada, I Posner… - IEEE Access, 2025 - ieeexplore.ieee.org",2025,"Amid growing efforts to leverage advances in large language models (LLMs) and vision- language models (VLMs) for robotics, Vision-Language-Action (VLA) models have recently …",101,"https://scholar.google.com/scholar?cites=802691608036150154&as_sdt=2005&sciodt=0,5&hl=ko",8,"https://scholar.google.com/scholar?cluster=802691608036150154&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:iosuwcO7IwsJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
3,z04oVUHvi6oJ,Towards reasoning era: A survey of long chain-of-thought for reasoning large language models,https://arxiv.org/abs/2503.09567,https://arxiv.org/pdf/2503.09567,"Q Chen, L Qin, J Liu, D Peng, J Guan, P Wang… - arXiv preprint arXiv …, 2025 - arxiv.org",2025,"Recent advancements in reasoning with large language models (RLLMs), such as OpenAI- O1 and DeepSeek-R1, have demonstrated their impressive capabilities in complex domains …",482,"https://scholar.google.com/scholar?cites=12289179072091147983&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=12289179072091147983&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:z04oVUHvi6oJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
4,NjKEZbIbi3kJ,Real-time execution of action chunking flow policies,https://proceedings.neurips.cc/paper_files/paper/2025/hash/300ccb2187dedd4edcc07f7e76d8e553-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/300ccb2187dedd4edcc07f7e76d8e553-Paper-Conference.pdf,"K Black, M Galliker, S Levine - Advances in Neural …, 2026 - proceedings.neurips.cc",2026,"Modern AI systems, especially those interacting with the physical world, increasingly require real-time performance. However, the high latency of state-of-the-art generalist models …",85,"https://scholar.google.com/scholar?cites=8758124353373352502&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=8758124353373352502&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:NjKEZbIbi3kJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
5,IQgfkYKmXL0J,A Survey on Vision–Language–Action Models for Embodied AI,https://ieeexplore.ieee.org/abstract/document/11495231/,https://ieeexplore.ieee.org/iel8/5962385/6104215/11495231.pdf,"Y Ma, Z Song, Y Zhuang, J Hao… - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",2026,Embodied AI is widely recognized as a cornerstone of artificial general intelligence (AGI) because it involves controlling embodied agents to perform tasks in the physical world …,316,"https://scholar.google.com/scholar?cites=13644964050736449569&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=13644964050736449569&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:IQgfkYKmXL0J:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
6,jup7vdR_k9IJ,Forcevla: Enhancing vla models with a force-aware moe for contact-rich manipulation,https://proceedings.neurips.cc/paper_files/paper/2025/hash/8633b46e12cc5f2ee1f05a6ca2c65b38-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/8633b46e12cc5f2ee1f05a6ca2c65b38-Paper-Conference.pdf,"J Yu, H Liu, Q Yu, J Ren, C Hao… - Advances in …, 2026 - proceedings.neurips.cc",2026,"Abstract Vision-Language-Action (VLA) models have advanced general-purpose robotic manipulation by leveraging pretrained visual and linguistic representations. However, they …",63,"https://scholar.google.com/scholar?cites=15173612121230142094&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=15173612121230142094&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:jup7vdR_k9IJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
7,1qTc7K0h8AgJ,CogVLA: Cognition-Aligned Vision-Language-Action Models via Instruction-Driven Routing & Sparsification,https://proceedings.neurips.cc/paper_files/paper/2025/hash/c9028f7874df04843e7bf435ee4cd3c3-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/c9028f7874df04843e7bf435ee4cd3c3-Paper-Conference.pdf,"W Li, R Zhang, R Shao, J He… - Advances in neural …, 2026 - proceedings.neurips.cc",2026,"Abstract Recent Vision-Language-Action (VLA) models built on pre-trained Vision- Language Models (VLMs) require extensive post-training, resulting in high computational …",48,"https://scholar.google.com/scholar?cites=644051777600922838&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=644051777600922838&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:1qTc7K0h8AgJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
8,gq3DMbfYARoJ,Vla-adapter: An effective paradigm for tiny-scale vision-language-action model,https://ojs.aaai.org/index.php/AAAI/article/view/38931,https://ojs.aaai.org/index.php/AAAI/article/view/38931/42893,"Y Wang, P Ding, L Li, C Cui, Z Ge, X Tong… - Proceedings of the …, 2026 - ojs.aaai.org",2026,Vision-Language-Action (VLA) models typically bridge the gap between perceptual and action spaces by pre-training a Vision-Language Model (VLM) on robotic data. While this …,77,"https://scholar.google.com/scholar?cites=1874017201288359298&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=1874017201288359298&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:gq3DMbfYARoJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
9,hnu69EWoXvQJ,Dexgraspvla: A vision-language-action framework towards general dexterous grasping,https://ojs.aaai.org/index.php/AAAI/article/view/38953,https://ojs.aaai.org/index.php/AAAI/article/download/38953/42915,"Y Zhong, X Huang, R Li, C Zhang, Z Chen… - Proceedings of the …, 2026 - ojs.aaai.org",2026,Dexterous grasping remains a fundamental yet challenging problem in robotics. A general- purpose robot must be capable of grasping diverse objects in arbitrary scenarios. However …,90,"https://scholar.google.com/scholar?cites=17608696611477289862&as_sdt=2005&sciodt=0,5&hl=ko",2,"https://scholar.google.com/scholar?cluster=17608696611477289862&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:hnu69EWoXvQJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
10,XKAvAgFvAnkJ,A survey on vision-language-action models for autonomous driving,https://openaccess.thecvf.com/content/ICCV2025W/WDFM-AD/html/Jiang_A_Survey_on_Vision-Language-Action_Models_for_Autonomous_Driving_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/WDFM-AD/papers/Jiang_A_Survey_on_Vision-Language-Action_Models_for_Autonomous_Driving_ICCVW_2025_paper.pdf,"S Jiang, Z Huang, K Qian, Z Luo… - Proceedings of the …, 2025 - openaccess.thecvf.com",2025,"The rapid progress of multimodal large language models (MLLM) has paved the way for Vision-Language-Action (VLA) paradigms, which integrate visual perception, natural …",58,"https://scholar.google.com/scholar?cites=8719653878665027676&as_sdt=2005&sciodt=0,5&hl=ko",3,"https://scholar.google.com/scholar?cluster=8719653878665027676&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:XKAvAgFvAnkJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",0,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=0
11,J5IqLBWPwIwJ,Dexvla: Vision-language model with plug-in diffusion expert for general robot control,https://arxiv.org/abs/2502.05855,https://arxiv.org/pdf/2502.05855,"J Wen, Y Zhu, J Li, Z Tang, C Shen, F Feng - arXiv preprint arXiv …, 2025 - arxiv.org",2025,Enabling robots to perform diverse tasks across varied environments is a central challenge in robot learning. While vision-language-action (VLA) models have shown promise for …,160,"https://scholar.google.com/scholar?cites=10142263681936429607&as_sdt=2005&sciodt=0,5&hl=ko",4,"https://scholar.google.com/scholar?cluster=10142263681936429607&hl=ko&as_sdt=2005&sciodt=0,5","https://scholar.google.com/scholar?q=related:J5IqLBWPwIwJ:scholar.google.com/&scioq=&hl=ko&as_sdt=2005&sciodt=0,5",10,https://scholar.google.com/scholar?cites=14511679643312711139&as_sdt=2005&sciodt=0%2C5&hl=ko&start=10
